NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
2449,Quality Manager - Electronics,QG-06-EH-03975-2025-V3-ESSCI,"A Quality Manager-Electronics is responsible for managing quality in all organizational operations. It starts from ensuring the quality of components received from the supplier to the quality of final output, including the quality of the production process. The individual also recruits, trains and manages a team of quality inspectors and supervisors, apart from driving quality initiatives in the organization to ensure it remains competitive in the market",Electronics & HW,Level 6,660 Hours,660 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Quality Maintenance,General Manager - Quality,General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""210""}",,
2450,Quality Supervisor (Consumer Goods),QG-05-EH-03982-2025-V5-ESSCI,"The individual at work is responsible for ensuring compliance to quality regulations during product design, identifying and implementing system evaluation and product assessment procedures in order to ensure conformance to standards and specifications.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Quality Assurance,Assistant Manager - Quality,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2451,Surveyor,QG-5.5-CO-03966-2025-V2-CSDCI,"A Surveyor is responsible for carrying out Construction Site Survey Work using modern and conventional systems by means of using instruments at construction sites. He 
collects, analyzes and manages the geographical data i.e. critical to planning and executing constructions",Construction,Level 5.5,600 Hours,600 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Surveying,Senior Surveyor,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""180"",""Practical"":""0"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""330""}",,
2452,Direct Attached Storage(DAS) Set Top Box Installation & Service Technician,QG-04-EH-03978-2025-V4-ESSCI,"The individual in this job role installs the set-top box at customer’s premises, addresses the field 
serviceable complaints and coordinates with the technical team for activation of new connections.",Electronics & HW,Level 4,450 Hours,450 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,DTH/DAS Set Top Box Service Engineer,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""180"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""120""}",,
2453,Assistant Surveyor,QG-02-CO-03965-2025-V2-CSDCI,"An Assistant Surveyor is responsible for assisting the surveyor in various surveying activities undertaken on-site such as operating surveying equipment, recording 
measurements, and assisting in the preparation of maps and plans. This role requires a combination of technical skills, physical stamina, and the ability to work collaboratively in a team environment.",Construction,Level 2,300 Hours,300 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Surveying,Surveyor,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""60"",""Practical"":""180"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
2454,Fabricator,QG-04-CO-03956-2025-V2-CSDCI,"A Fabricator is responsible for conducting various activities, such as surface cleaning, 
edge/ joint preparation, connection of the components/ steel sections, etc., as well as 
the erection of these assemblies.",Construction,Level 4,450 Hours,450 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Fabrication,Senior Construction Welder,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""270"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
2455,Wire Saw Operator,QG-03-MG-04065-2025-V2-SCMS,"Wire Saw operator drives and operates a Wire Saw machine to cut large dimension stone blocks of granite, marble, limestone, slate, sandstone etc. into smaller blocks. They also ensure that the safety systems are working correctly and perform essential maintenance on the Wire Saw.",Mining,Level 3,390 Hours,390 Hours,Version ,06 May 2025,06 Nov 2025,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Drilling/Cutting,NSQF Level 4.0 (Vertical) - Shovel Operator (to be developed),General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""260"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2456,Shuttering Carpenter,QG-04-CO-03963-2025-V2-CSDCI,"A Shuttering Carpenter is responsible for making shutters and assembling system/ 
conventional formwork for RCC structures such as columns, beams, slabs, walls, foundations and other similar structures.",Construction,Level 4,570 Hours,420 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Shuttering Carpentry,Foreman Formwork,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""240"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
2457,Brick Mason,QG-04-CO-03958-2025-V2-CSDCI,"A Brick Mason, is a skilled tradesperson responsible for constructing, repairing, and maintaining structures made of brick, stone, concrete blocks, or other similar materials. 
The Brick mason is required to perform routine masonry works, such as brickwork, block 
work, laying paver blocks, plastering, brick bat coba waterproofing, random rubble masonry and IPS/Tremix flooring, etc.",Construction,Level 4,690 Hours,450 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Masonry,Foreman Concrete,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""270"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
2458,Die Attach and Wire Bonding Supervisor,QG-05-EH-03986-2025-V3-ESSCI,"A Die Attach and Wire Bonding Supervisor is responsible for bonding machine tools and program preparation for die attachments & wire bonding, data analysis and yield, cost and productivity improvement. He/she also assists in the design verifications and machine/tools buy-off activities.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,31 Oct 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production-S&C,Assistant Manager – Process,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2459,Electronic Hardware Design Engineer,QG-05-EH-03980-2025-V4-ESSCI,"The individual at work is responsible for undertaking research on new products, working with R&D on developing the schematics, converting them to PCB layout using CAD and other software and generating the Gerber file to pass on to PCB manufacturers.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Research and Design-PCB,Electronic Hardware Design - Lead,Future Skills Qualification,N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2460,Solder Ball Attach - Process Supervisor,QG-05-EH-03985-2025-V3-ESSCI,"Solder Ball Attach - Process Supervisor works on Program Preparation for Solder Ball Attach Machine and also, he is responsible for Operation of Machine to complete process and deliver to the next step of Manufacturing. He also needs to coordinate with other departments for smooth functioning.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,31 Oct 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production-S&C,Assistant Manager - Process,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2461,Helper-Opencast Mines,QG-02-MG-04066-2025-V2-SCMS,"The Helper in an Open Cast Mine assists the Operator/ Fitter/ Technician in handling material, pre-operational checks, servicing Heavy Earth Moving Machinery (HEMM), shifting and operation of open cast machines, and installation and maintenance of electrical systems and equipment.",Mining,Level 2,330 Hours,240 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,"Mine Surveying, Drilling/Cutting, Shot firing/Blasting, Loading and Hauling - Opencast, Specialized Operations, HSE Functions, Geological Mapping, Exploration, Mineral Estimation, Planning, Placer Mining, Mechanical Services, Instrumentation and Control Systems, Electrical Services","NSQF Level 3.0 (Vertical)-Bulldozer Operator, Dumper/Tipper Operator, Jack Hammer Operator, Loader Operator-Mining, Mine Mechanic/Fitter, Wire Saw Operator, Mechanic-Belt-Conveyor, Grader Operator,  Coal Bed Methane (CBM) Extraction Operator, Slurry Pump Operator (Mines), Mechanic-Fitter (Mineral Sands)",General Qualification,N.A.,"{""Theory"":""60"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2462,Saw Singulation Engineer (Semiconductor),QG-05-EH-03993-2025-V3-ESSCI,"Saw Singulation Engineer (Semiconductor) works on Saw Singulation Process & is responsible for preparing recipe (Process Parameters), Data Analysis, Yield Maintenance & Improvements, Productivity Improvements etc all. He needs to know the complete process of Saw Singulation during IC Packaging to handle the process. Create process for new products.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,31 Oct 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production-S&C,Assistant Manager - Process,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2463,Fundamentals of Animal Vaccination,NM-04-AG-04181-2025-V1-ASCI,"This OS unit is about practicing vaccination in livestock, promotion of animal health, and delivering effective livestock extension services by paraprofessionals. It also emphasizes on disease prevention, reducing antimicrobial resistance, and minimizing zoonotic disease risks. Additionally, it also covers communication skills, workplace resilience, and collaboration with livestock health partners for improved animal care and productivity.",Agriculture,Level 4,30 Hours,30 Hours,Version ,08 May 2025,08 May 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,NIL,NIL,"General Qualification,Micro Credentials,Upskilling Qualification",N.A.,"{""Theory"":""20"",""Practical"":""10"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
2464,Helper-Underground Mines,QG-02-MG-04067-2025-V2-SCMS,"The Helper in an Underground Mine assists the Operator/ Fitter/ Technician in handling material, pre- operational checks, servicing Heavy Earth Moving Machinery (HEMM), shifting and operation of underground machines, and installation and maintenance of electrical systems and equipment.",Mining,Level 2,390 Hours,240 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,"Mine Surveying, Drilling/Cutting, Shot firing/Blasting, Loading and Hauling - Underground, Specialized
Operations, HSE Functions, Electrical Services, Geological Mapping, Exploration, Mineral Estimation,
Planning, Placer Mining, Mechanical Services, Instrumentation and Control Systems","NSQF Level 3.0 (Vertical)-Jack Hammer Operator, Mine Mechanic/Fitter, Mechanic-Belt-Conveyor, Grader Operator,  Slurry Pump Operator (Mines), Mechanic-Fitter (Mineral Sands), Drill Operator {Down-the-hole/Long Hole (DTH/LH)}",General Qualification,N.A.,"{""Theory"":""60"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2465,Junior Store Keeper - Construction,QG-4.5-CO-03964-2025-V2-CSDCI,"A Junior Store Keeper - Construction is responsible for receiving incoming materials, and stacking, storing and issuing materials along with carrying out necessary documentation at the construction sites.",Construction,Level 4.5,510 Hours,510 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Store Keeping,Store Keeper – Construction,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",,
